iter	RMSE
0	15.92424085
1	15.40576942
2	15.01739469
3	14.5983664544	14.18357055	5	13.77881026	6	13.43848987	7	13.08188778	13.08170894
9	12.81065476
10	12.50635703
11	12.21645179
12	11.93557878
13	11.63836375
14	11.36545661
15	11.10186289
16	10.86774779
17	10.62342108
18	10.39171375
19	10.18008
20	9.952999605
21	9.773772136
22	9.569115103
23	9.390902502
24	9.198640834
25	9.022695141
26	8.87267084
27	8.708251052
28	8.553705551
29	8.411324982
30	8.274980088
31	8.15039385
32	832	8.02632033	733	7.91370634	734	7.80873935	735	7.69029736	736	7.5730037	7.37	7.4580438	7.38	7.3555939	7.39	7.2503340	7.40	7.1570441	7.41	7.053590592
42	6.957758771
43	6.874036947
44	6.789525036
45	6.702849332
46	6.624527072
47	6.538877415
48	6.467888334
49	6.39777731950	6.2567285275551	6.268344805552	6.203940435553	6.126509263554	6.069851905555	6.016023629
56	5.952558231
57	5.896743349
58	5.860425131
59	5.821426586060	5.775372196161	5.723133876262	5.670517626363	5.618409696464	5.571528246565	5.523711356666	5.479026266767	5.430779893
68	5.39698428
69	5.362773223
70	5.326773113
71	5.292035171
72	5.255947896
73	5.222374	5.274	5.186275	5.275	5.153132373
76	5.125565546
77	5.090452425
78	5.063265518
79	5.031176657
80	5.00981	5.0581	4.98619668
82	4.952391031
83	4.928514755
84	4.905082215
85	4.878539822
86	4.856428881
87	4.828034336
88	4.809470358
89	4.786809312
90	4.768163729
91	4.744798628
92	4.726268746
93	4.706933883
94	4.687102624
95	4.66282622
96	4.646681567
97	4.630488864
98	4.612262279
99	4.596737729
100	4.579054699
101	4.565379292
102	4.549429695
103	4.532116019
104	4.517437479
105	4.505129438
106	4.492099604
107	4.475890385
108	4.462541047
109	4.44506431
110	4.433315204
111	4.417648766
112	4.406713347
113	4.391237711
114	4.378539006
115	4.367618216
116	4.354910535
117	4.343745598
118	4.332062281
119	4.315815361
120	4.304059503
121	4.288151624
122	4.277921433
123	4.268026976
124	4.254191385
125	4.246280794
126	4.237203467
127	4.226091248
128	4.218385672
129	4.208538868
130	4.20100711
131	4.191828503
132	4.182413591
133	4.168515131
134	4135	4.16205135	4.146857566
136	4.137726203
137	4.126898846
138	4.114702213
139	4.103352459
140	141	4.098703141	4.089508875
142	143	4.08189143	4.07154955
144	4.0644917
145	4.058699862
146	4.055409175
147	4.045927523
148	4.0354266614149	4.0234180615150	4.01701664
151	4.009828413
152	3.9984225881153	3.9879060291154	3.9772567571155	3.9664633391156	3.958305
157	3.949026597
158	3.9394428261159	3.9310651931160	3.92317176
161	3.91542124
162	3.906334499
163	3.897537419
164	3.889699156
165	3.884446722
166	3.876037399
167	3.867304917
168	3.862923679
169	3.852466847
170	3.845845994
171	3.840647925
172	3.833589777
173	3.825019395
174	3.820190049
175	3.81511448
176	3.811343936
177	3.802079696
178	3.797603351
179	3.791783446
180	3.785195109
181	3.779032895
182	3.771635838
183	3.761195473
184	3.759586563
185	3.751645779
186	3.74873223
187	3.74057977
188	3.73482843
189	3.732465689
190	3.730549187
191	3.72194058
192	3.709117831
193	3.707457067
194	3.696265832
195	3.693277119
196	3.687313139
197	3.67240244
198	3.670920381
199	3.658054315
200	3.650199833
201	3.639686772
202	3.62963681
203	3.627378538
204	3.623650479
205	3.611383072
206	3.610314757
207	3.60429146
208	3.60327167
209	3.59527518
210	3.591932835
211	3.589230446
212	3.586707994
213	3.584953754
214	3.577352159
215	3.570574666
216	3.566541331
217	3.563075203
218	3.560349311
219	3.556976889
220	3.554854853
221	3.546291955
222	3.545299165
223	3.533158668
224	3.527569224
225	3.523337044
226	3.519083792
227	3.517897045
228	3.50945229	3229	3.5011230	3.230	3.4944231	3231	3.48701232	3232	3.48543233	3233	3.47792234	3234	3.47416235	3235	3.46470236	3236	3.45617237	3237	3.44865238	3238	3.44759239	3239	3.44001240	3.302055311
241	3.294464045
242	3.28737797
243	3.281141986
244	3.272376861
245	3.266188933
246	3.265528949
247	3.26343517
248	3.258948437
249	3.254081275
250	3.246632558
251	3.244521383
252	3.241720775
253	3.233975861
254	3.228741235
255	3.222472474
256	3.216651272
257	3.212729418
258	3.207387178
259	3.198906428
260	3.193818707
261	3.189168787
262	3.181786363
263	3.174429804
264	3.168162295
265	3.161896946
266	3.156658082
267	3.149626026
268	3.145911786
269	3.142143627
270	3.135223828
271	3.128626262
272	3.122366289
273	3.114999758
274	3.112413732
275	3.106012746
276	3.09786897
277	3.090829748
278	3.084653739
279	3.077337049
280	3.066959363
281	3.062046516
282	3.052861025
283	3.051300456
284	3.048111209
285	3.044534805
286	3.038284244
287	3.033290225
288	3.030310948
289	3.021678256
290	3.013739286
291	3.006118066
292	3.002760186
293	2.998137244
294	2.997403563
295	2.990657095
296	2.987808002
297	2.983283908
298	2.975292192
299	2.968553846
49
2
1757
