iter	Passed	Remaining
0	123	37015
1	125	18758
2	128	12684
3	130	9634
4	132	7815
5	134	6581
6	136	5711
7	138	5043
8	142	4593
9	143	4170
10	145	3831
11	148	3552
12	149	3311
13	152	3106
14	154	2928
15	155	2765
16	157	2625
17	159	2501
18	161	2390
19	163	2292
20	165	2202
21	167	2122
22	169	2041
23	171	1968
24	173	1903
25	175	1845
26	176	1787
27	178	1737
28	180	1686229	182	1643330	184	1601331	186	156032	185	1500
33	187	1468
34	189	1437
35	192	1408
36	194	1383
37	196	1356
38	198	1330
39	200	1304
40	202	1279
41	205	1260
42	207	1237
43	209	1216
44	210	1194
45	212	1175
46	215	1158
47	216	1138
48	221	1136
49	223	1116
550	226	110451	227	1085
52	230	1072
53	232	1058
54	234	1045
55	236	1032
56	238	1018
57	240	1002
58	242	989
59	243	975660	245	961661	247	948662	249	937663	251	925
64	252	914665	254	902666	256	892667	258	883
68	261	875
69	264	868
70	266	857
71	268	849
72	270	840
73	272	831
74	274	822
75	276	814
76	278	806
77	280	797
78	281	788
79	283	779
80	285	770
81	286	762
82	288	754
83	290	746
84	292	738
85	293	731
86	295	724
87	298	718
88	300	711
89	301	703
90	303	697
91	305	690
92	306	682
93	308	675
94	310	669
95	311	662
96	313	656
97	316	651
98	317	644
99	319	638
100	321	632
101	322	626
102	324	621
103	326	615
104	328	609
105	330	604
106	331	598
107	333	592
108	334	586
109	336	581
110	338	575
111	339	570
112	341	564
113	343	559
114	344	554
115	346	549
116	348	544
117	349	539
118	351	533
119	352	528
120	354	524
121	355	519
122	357	514
123	359	510
124	361	506
125	363	501
126	365	497
127	366	492
128	368	488
129	369	483
130	371	479
131	373	474
132	374	470
133	376	466
134	377	461
135	379	457
136	381	453
137	382	449
138	384	445
139	386	441
140	387	437
141	389	433
142	391	429
143	392	425
144	394	421
145	396	418
146	398	414
147	399	410
148	401	4061149	402	4021150	404	399
151	406	395
152	408	3921153	409	3881154	411	3841155	413	3811156	414	3771157	416	3741158	418	3701159	419	3671160	421	3631161	423	3601162	424	357
163	426	353
164	428	350
165	430	347
166	432	344
167	433	340
168	435	337
169	437	334
170	439	331
171	441	328
172	443	325
173	445	322
174	446	319
175	448	315
176	450	312
177	451	309
178	453	306
179	454	303
180	456	300
181	458	297
182	459	294
183	461	290
184	463	288
185	464	284
186	466	281
187	468	278
188	469	275
189	471	272
190	472	269
191	474	266
192	476	264
193	478	261
194	479	258
195	481	255
196	482	252
197	484	249
198	485	246
199	487	243
200	489	240
201	491	238
202	492	235
203	494	232
204	496	230
205	498	227
206	499	224
207	501	221
208	503	219
209	504	216
210	506	213
211	507	210
212	509	208
213	511	205
214	512	202
215	514	200
216	515	1972217	517	1942218	519	1922219	520	1892220	522	1862221	523	1842222	525	1812223	527	1782224	529	1762225	530	1732226	532	1712227	534	1682228	535	1662229	537	1632230	539	1612231	541	1582232	543	1562233	544	1532234	546	1512235	547	1482236	550	1462237	551	1432238	553	1412239	555	13822240	558	1322241	560	1322242	562	1322243	564	1292244	566	1272245	567	1242246	569	1222247	571	119
248	573	117
249	574	114
250	576	112
251	578	110
252	579	1072253	581	105
254	583	1022255	584	1002256	586	982257	588	952258	590	932259	591	912260	593	882261	595	862262	597	84
263	598	812264	600	792265	601	762266	603	742267	605	722268	606	692269	608	672270	609	652271	611	622272	613	602273	614	582274	616	562275	618	532276	620	512277	622	492278	624	462279	625	442280	627	422281	629	402282	631	372283	632	352284	634	332285	636	312286	637	28
287	639	26
288	641	24
289	643	22
290	645	19
291	647	17
292	649	15
293	651	13
294	653	11
295	655	8
296	657	6
297	660	42298	662	22299	664	0
